engine,requestedBodies,tMs,bodies,awakeBodies,renderFps,simFps,simCapacityFps,physicsStepMs,physicsCapacityFps,renderSyncMs,syncMs,renderMs,snapshotCopyMs,snapshotBytes,threadsEnabled,stepCount
"rapier",1024,1009,1029,1024,120.00320008228367,62.59291135162168,446.17958636427704,2.24125000461936,446.17958636427704,0.5049999952316284,0.0549999475479126,0.23500001430511475,0.009999990463256836,57624,false,95
"rapier",1024,1262,1029,1024,120.13855978805438,62.48840546814984,391.293714981597,2.5556249991059303,391.293714981597,0.6750000715255737,0.034999966621398926,1.659999966621399,0.014999985694885254,57624,false,111
"rapier",1024,1518,1029,1024,120.08165554332895,62.48840546814984,391.293714981597,2.5556249991059303,391.293714981597,0.6499999761581421,0.09000003337860107,0.21500003337860107,0.020000100135803223,57624,false,127
"rapier",1024,1772,1029,0,119.97520512885008,62.4621811082628,489.1096714795297,2.0445312336087227,489.1096714795297,0.440000057220459,0.029999971389770508,0.2200000286102295,0.019999980926513672,57624,false,139
"rapier",1024,2029,1029,0,119.61960964285683,62.4621811082628,489.1096714795297,2.0445312336087227,489.1096714795297,0.440000057220459,0.029999971389770508,0.2200000286102295,0.019999980926513672,57624,false,139
"rapier",1024,2286,1029,0,119.43150602297803,62.39458726839413,917.8259122013604,1.089531235396862,917.8259122013604,0.7400000095367432,0.03500008583068848,0.1950000524520874,0.029999971389770508,57624,false,171
"rapier",1024,2538,1029,0,119.90088193683654,62.39458726839413,917.8259122013604,1.089531235396862,917.8259122013604,0.7400000095367432,0.03500008583068848,0.16999995708465576,0.029999971389770508,57624,false,171
"rapier",4096,252,4101,4096,119.9168576484134,64.72174552586418,207.81510774074718,4.811969692056829,207.81510774074718,1.5750000476837158,0.11000001430511475,0.2049999237060547,0.039999961853027344,229656,false,48
"rapier",4096,505,4101,4096,119.99920000609623,64.72174552586418,207.81510774074718,4.811969692056829,207.81510774074718,1.5099999904632568,0.11000001430511475,0.33000004291534424,0.039999961853027344,229656,false,64
"rapier",4096,757,4101,4096,119.99920000609619,62.21928408186327,142.92413855926242,6.9967187494039536,142.92413855926242,1.600000023841858,0.11500000953674316,0.2799999713897705,0.034999966621398926,229656,false,79
"rapier",4096,1010,4101,4096,119.99840002285882,62.21928408186327,142.92413855926242,6.9967187494039536,142.92413855926242,1.7649999856948853,0.11500000953674316,0.23500001430511475,0.04499995708465576,229656,false,95
"rapier",4096,1261,4101,4096,119.8777247230689,62.74632835820625,141.20242691671262,7.08203125,141.20242691671262,1.559999942779541,0.11000001430511475,0.24500000476837158,0.04500007629394531,229656,false,111
"rapier",4096,1513,4101,4096,119.99200052185513,62.74632835820625,141.20242691671262,7.08203125,141.20242691671262,1.6049998998641968,0.11000001430511475,0.20500004291534424,0.05000007152557373,229656,false,127
"rapier",4096,1767,4101,4096,119.99040077709238,62.38972129689706,144.25786097292067,6.932031247764826,144.25786097292067,1.7400000095367432,0.1499999761581421,0.25999999046325684,0.040000081062316895,229656,false,142
"rapier",4096,2019,4101,0,120.00880063698713,62.38972129689706,144.25786097292067,6.932031247764826,144.25786097292067,1.6850000619888306,0.11000001430511475,0.19000005722045898,0.034999966621398926,229656,false,148
"rapier",4096,2273,4101,0,119.99920000609623,62.38972129689706,144.25786097292067,6.932031247764826,144.25786097292067,1.6850000619888306,0.11000001430511475,0.2700001001358032,0.034999966621398926,229656,false,148
"rapier",4096,2525,4101,0,119.99999999999997,63.210500843857396,234.9313563398435,4.256562493741512,234.9313563398435,4.335000038146973,0.28999996185302734,0.1799999475479126,0.02499997615814209,229656,false,180
"rapier",8192,252,8197,8192,120.18348010991133,59.39594325258961,126.70791707688133,7.892166670163473,126.70791707688133,3.2450000047683716,0.2200000286102295,0.22499990463256836,0.09000003337860107,459032,false,43
"rapier",8192,505,8197,8192,119.99920000609619,51.815536692340174,64.47373309824731,15.51019232089703,64.47373309824731,2.9350000619888306,0.4799998998641968,0.25,0.08500003814697266,459032,false,56
